lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
L1752615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,1.0,8.1,4.04,,,,,,JG,False,,2026-06-30,2026-07-01 01:00:24
L1802615,MERICA  - MARACUYÁ CON PEPAS MERICA UNIDAD 500 g - MERICA,1.0,13.8,3.06,,,,,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,1.0,8.1,3.59,,6.0,,60.0,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,2.0,7.8,3.62,,6.7,,60.0,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812609,KAARUFOOD CIA LTDA  -  TOPPING DE FRUTILLA 12 BX 14 KG - KAARUFOOD CIA LTDA,1.0,10.9,3.46,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812609,KAARUFOOD CIA LTDA  -  TOPPING DE FRUTILLA 12 BX 14 KG - KAARUFOOD CIA LTDA,2.0,11.6,3.82,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812609,KAARUFOOD CIA LTDA  -  TOPPING DE FRUTILLA 12 BX 14 KG - KAARUFOOD CIA LTDA,3.0,11.0,3.32,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,1.0,8.1,4.04,,,,,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,2.0,8.0,3.85,,,,,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,3.0,7.7,4.01,,,,,,SF,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,4.0,6.7,4.03,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,5.0,7.2,3.99,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,6.0,7.1,4.01,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,7.0,7.4,3.76,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,8.0,7.2,3.82,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,9.0,7.9,3.74,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
L1812615,MERICA  - PULPA DE GUAYABA MERICA UNIDAD 250 g - MERICA,10.0,8.2,3.77,,,,,,ET,False,,2026-06-30,2026-07-01 01:00:24
